"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
" CAIXA DE ASSISTÊNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÊNCIA À SAÚDE (418374)";"Médico Hospitalar";"Pequeno";"80";"90";"   3,56";"   4,13";"   4,33";"   1,83";"   3,61";"   6,20";"    6,72";"    9,16";"   8,31";"   9,05";"   5,02";"   6,01";"202210";"15/11/2022 05:40:45"
"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668)";"Médico Hospitalar";"Médio";"206";"187";"   0,20";"   0,41";"   0,41";"   0,20";"0,00";"0,00";"0,00";"    0,21";"   0,21";"   0,21";"   0,21";"   0,41";"202210";"15/11/2022 05:40:45"
"ADVANCE PLANOS DE SAÚDE LTDA (335657)";"Médico Hospitalar";"Pequeno";"51";"33";"   8,72";"  17,33";"  12,89";"  12,79";"   4,23";"  33,73";"   29,37";"   33,38";"   8,30";"  20,64";"  28,76";"  24,54";"202210";"15/11/2022 05:40:45"
"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   0,66";"   0,66";"    0,66";"0,00";"0,00";"   0,66";"   1,32";"   3,28";"202210";"15/11/2022 05:40:45"
"ALCANCE SAÚDE EIRELI (416975)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,24";"   2,25";"   6,78";"   4,54";"   4,56";"202210";"15/11/2022 05:40:45"
"ALICE OPERADORA LTDA. (421928)";"Médico Hospitalar";"Pequeno";"177";"172";"0,00";"   0,94";"   4,81";"   4,98";"   4,19";"0,00";"    1,19";"    2,53";"   2,74";"   4,50";"   3,48";"   4,15";"202210";"15/11/2022 05:40:45"
"ALLIANZ SAÚDE S/A (000515)";"Médico Hospitalar";"Médio";"44";"42";"   6,87";"   7,50";"   7,83";"  13,61";"  16,35";"  16,91";"   11,43";"    9,87";"  11,01";"  12,15";"  14,17";"  15,21";"202210";"15/11/2022 05:40:45"
"ALPHA SERVIÇOS DE SAÚDE LTDA (422754)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Grande";"3";"3";"  20,94";"  18,02";"  13,33";"  11,49";"  10,93";"  11,42";"   10,99";"    8,85";"   7,52";"   6,08";"   8,44";"   8,99";"202210";"15/11/2022 05:40:45"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"160";"133";"   0,80";"   1,62";"   2,44";"   3,28";"   3,31";"   3,34";"    1,68";"    2,54";"   2,55";"   4,28";"   3,44";"   3,43";"202210";"15/11/2022 05:40:45"
"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531)";"Médico Hospitalar";"Pequeno";"154";"175";"   0,92";"   0,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
